timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
106,1941748072,508261,1900629,24984,585446105,2859451842,744376,2798838,36809,742325643,3289813103,854198,3220103,42115,704158791,2227871935,583275,2180716,28523,643626583,132431,10318884952,2690110,10100286,2675557122
107,1734730318,453838,1697980,22516,605095502,2749534254,716973,2691331,35371,616796650,3379868210,878648,3308280,43277,641467475,1958522520,506910,1917004,25115,598856680,126279,9822655302,2556369,9614595,2462216307
108,1757817448,460847,1720610,22786,526428192,1692934461,444430,1657077,22001,444625465,1976690367,518619,1934864,25307,393157725,1839728959,482019,1800771,23827,494008711,93921,7267171235,1905915,7113322,1858220093
109,1250117971,326003,1223629,15980,351724762,1261649147,328665,1234934,16169,323746410,1293041134,335642,1265609,16645,294679389,1379797219,358516,1350571,17682,346495736,66476,5184605471,1348826,5074743,1316646297
110,759522209,198669,743446,9676,219467711,1211014621,315157,1185366,15461,268832216,1181478069,310103,1156478,15073,237779901,928304377,244055,908658,11946,240470751,52156,4080319276,1067984,3993948,966550579
111,970499890,252861,949949,12335,211221995,814376685,214689,797152,10352,173378767,881889248,229674,863224,11115,128699127,928303974,241907,908648,11777,211142566,45579,3595069797,939131,3518973,724442455
112,776400214,201009,759947,9749,139449174,529,1109,11,11,0,135026202,35134,132166,1695,13493094,818595296,212374,801266,10293,138347816,21748,1730022241,449626,1693390,291290084
113,519006782,135259,508024,6532,107384012,576,576,8,8,0,16878973,5663,16534,224,845897,746862459,192111,731036,9389,108355850,16153,1282748790,333609,1255602,216585759
114,649813439,168379,636054,8163,122191417,576,728,8,10,0,792,872,11,12,0,896212353,233563,877306,11319,126633142,19504,1546027160,403542,1513379,248824559
115,502128734,131367,491510,6325,85091971,504,504,7,7,0,360,360,5,5,0,748520385,193867,732657,9418,94111484,15755,1250649983,326098,1224179,179203455
